,neurons,activation,batch_size,optimizer,hops,recall,accuracy
292,64,tanh,16,SGD,20,0.0,0.9972489683631361
293,64,tanh,16,SGD,30,0.0,0.9972394755003451
294,64,tanh,32,SGD,10,0.0,0.9972583961617546
295,64,tanh,32,SGD,20,0.0,0.9972489683631361
296,64,tanh,32,SGD,30,0.0,0.9972394755003451
297,64,tanh,8,Adam,10,0.0,0.9972583961617546
298,64,tanh,8,Adam,20,0.0,0.9972489683631361
299,64,tanh,8,Adam,30,0.0,0.9972394755003451
300,64,tanh,16,Adam,10,0.0,0.9972583961617546
301,64,tanh,16,Adam,20,0.0,0.9972489683631361
302,64,tanh,16,Adam,30,0.0,0.9972394755003451
303,64,tanh,32,Adam,10,0.0,0.9972583961617546
304,64,tanh,32,Adam,20,0.0,0.9972489683631361
305,64,tanh,32,Adam,30,0.0,0.9972394755003451
306,64,tanh,8,RMSprop,10,0.0,0.9972583961617546
307,64,tanh,8,RMSprop,20,0.0,0.9972489683631361
308,64,tanh,8,RMSprop,30,0.0,0.9972394755003451
309,64,tanh,16,RMSprop,10,0.0,0.9972583961617546
310,64,tanh,16,RMSprop,20,0.0,0.9972489683631361
311,64,tanh,16,RMSprop,30,0.0,0.9972394755003451
312,64,tanh,32,RMSprop,10,0.0,0.9972583961617546
313,64,tanh,32,RMSprop,20,0.0,0.9972489683631361
314,64,tanh,32,RMSprop,30,0.0,0.9972394755003451
315,64,tanh,8,Adadelta,10,0.0,0.9201507882111035
316,64,tanh,8,Adadelta,20,0.0,0.968707015130674
317,64,tanh,8,Adadelta,30,0.0,0.8240165631469979
318,64,tanh,16,Adadelta,10,0.0,0.9160383824537355
319,64,tanh,16,Adadelta,20,0.0,0.9040577716643742
320,64,tanh,16,Adadelta,30,0.0,0.8681849551414769
321,64,tanh,32,Adadelta,10,0.25,0.39239204934886907
322,64,tanh,32,Adadelta,20,0.875,0.4425722145804677
323,64,tanh,32,Adadelta,30,0.25,0.44893029675638374
